Date,Open,Close,High,Low,Volume
2021-02-18,7430.35,7477.15,7563.58,7402.52,39042890
2021-02-19,7451.61,7440.67,7545.62,7407.83,33097611
2021-02-22,7425.21,7316.29,7425.21,7293.89,44720927
2021-02-23,7307.84,7379.1,7507.07,7307.84,41578962
2021-02-24,7390.44,7260.86,7393.6,7203.19,35220176
2021-02-25,7317.48,7369.96,7423.07,7272.59,37907996
2021-02-26,7282.2,7114.92,7354.24,7089.8,38534859
2021-03-01,7143.99,7115.55,7162.11,7080.13,24125871
2021-03-02,7146.71,7063.54,7178.87,6999.62,26847411
2021-03-03,7075.71,7383.39,7397.76,7069.82,43365133
2021-03-04,7332.69,7326.13,7437.13,7285.69,39186776
2021-03-05,7277.36,7267.48,7320.18,7136.24,35549030
2021-03-08,7287.9,7146.98,7358.69,7143.46,37068698
2021-03-09,7167.17,7011.61,7237.1,6984.22,37382750
2021-03-10,7036.01,6979.92,7043.58,6956.32,26315738
2021-03-11,7051.19,7197.76,7251.34,7051.19,33500027
2021-03-12,7209.33,7271.94,7295.14,7196.77,28870490
2021-03-15,7261.73,7334.61,7446.45,7254.51,33633171
2021-03-16,7361.07,7419.72,7488.17,7336.16,26829133
2021-03-17,7386.26,7303.6,7388.0,7268.84,22952750
2021-03-18,7305.28,7324.47,7355.21,7267.79,19709930
2021-03-19,7315.47,7106.8,7342.66,7084.21,30178846
2021-03-22,7117.41,7252.97,7304.07,7117.41,22544445
2021-03-23,7251.49,7219.54,7304.95,7171.05,19727910
2021-03-24,7220.67,7104.7,7225.87,7087.11,20585234
2021-03-25,7140.43,7058.81,7166.2,7042.56,18903302
2021-03-26,7094.24,7128.4,7140.89,7062.78,21826919
2021-03-29,7137.41,7161.91,7172.62,7086.75,28231162
2021-03-30,7162.87,7215.17,7215.17,7122.04,22627298
2021-03-31,7198.09,7238.44,7258.36,7138.26,28781007
2021-04-01,7242.65,7214.71,7242.87,7177.14,17148898
2021-04-02,7221.58,7126.51,7222.23,7104.36,19847577
2021-04-06,7133.1,7144.9,7174.95,7119.87,14049173
2021-04-07,7150.57,7123.99,7155.87,7082.46,17917108
2021-04-08,7107.39,7106.14,7123.44,7083.12,14774414
