日期,股票,类型,价格,股数,金额,手续费,红利补税
2022-02-09,建设银行,网格买入,4.56,100,456.00,0.50,0.00
2022-02-09,建设银行,网格买入,4.54,100,454.00,0.50,0.00
2022-02-09,建设银行,网格买入,4.52,100,452.00,0.50,0.00
2022-02-09,建设银行,网格卖出,4.59,200,918.00,0.96,0.00
2022-02-09,交通银行,网格卖出,3.33,200,666.00,0.83,0.00
2022-02-09,邮储银行,网格买入,4.75,100,475.00,0.50,0.00
2022-02-09,邮储银行,网格买入,4.73,100,473.00,0.50,0.00
2022-02-09,邮储银行,网格买入,4.71,100,471.00,0.50,0.00
2022-02-09,邮储银行,网格卖出,4.78,200,956.00,0.98,0.00
2022-02-10,工商银行,网格买入,3.5,200,700.00,0.50,0.00
2022-02-10,工商银行,网格买入,3.48,200,696.00,0.50,0.00
2022-02-10,工商银行,网格买入,3.46,200,692.00,0.50,0.00
2022-02-10,工商银行,网格卖出,3.51,300,1053.00,1.03,0.00
2022-02-10,农业银行,网格买入,2.03,300,609.00,0.50,0.00
2022-02-10,农业银行,网格买入,2.02,400,808.00,0.50,0.00
2022-02-10,农业银行,网格卖出,2.05,400,820.00,0.91,0.00
2022-02-10,中国银行,网格买入,2.13,300,639.00,0.50,0.00
2022-02-10,中国银行,网格买入,2.12,300,636.00,0.50,0.00
2022-02-10,建设银行,网格买入,4.55,100,455.00,0.50,0.00
2022-02-10,建设银行,网格买入,4.53,100,453.00,0.50,0.00
2022-02-10,建设银行,网格卖出,4.6,200,920.00,0.96,0.00
2022-02-10,交通银行,网格买入,3.28,200,656.00,0.50,0.00
2022-02-10,交通银行,网格卖出,3.33,200,666.00,0.83,0.00
2022-02-10,邮储银行,网格买入,4.72,100,472.00,0.50,0.00
2022-02-10,邮储银行,网格买入,4.7,100,470.00,0.50,0.00
2022-02-10,邮储银行,网格买入,4.68,200,936.00,0.50,0.00
